input_name,canonical_key,quantity,unit,normalized_quantity,normalized_unit,ef_kgco2e_per_unit,co2e
Cotton,,0.02453189771197847,g,0.02453189771197847,g,,
Cotton,,0.0002299865410497981,kg,0.0002299865410497981,kg,,
Cotton,,0.0001820726783310902,kg,0.0001820726783310902,kg,,
Cotton,,0.01715316285329744,kg,0.01715316285329744,kg,,
Cotton,,1.003939165545088,MJ,1.003939165545088,mj,,
Cotton,,0.0002251951547779273,kg,0.0002251951547779273,kg,,
Cotton,,0.0006468371467025573,kg,0.0006468371467025573,kg,,
Cotton,,0.3265329744279946,MJ,0.3265329744279946,mj,,
Cotton,,0.04058304172274562,kg,0.04058304172274562,kg,,
Cotton,,0.01978842530282638,kg,0.01978842530282638,kg,,
Cotton,,0.001030148048452221,kg,0.001030148048452221,kg,,
Cotton,,0.04058304172274562,kg,0.04058304172274562,kg,,
Cotton,,0.05054912516823688,kg,0.05054912516823688,kg,,
Cotton,,0.04470363391655451,L,0.04470363391655451,l,,
Cotton,,0.0001197846567967698,kg,0.0001197846567967698,kg,,
Cotton,,0.04058304172274562,kg,0.04058304172274562,kg,,
Cotton,,0.0001197846567967698,kg,0.0001197846567967698,kg,,
Cotton,,0.0003928936742934051,kg,0.0003928936742934051,kg,,
Cotton,,0.0001197846567967698,kg,0.0001197846567967698,kg,,
Cotton,,0.0002395693135935397,kg,0.0002395693135935397,kg,,
Cotton,,0.724457604306864,m3,0.724457604306864,m3,,
Cotton,,0.114993270524899,g,0.114993270524899,g,,
Cotton,,0.114993270524899,g,0.114993270524899,g,,
Cotton,,0.09103633916554509,g,0.09103633916554509,g,,
Cotton,,0.0910363391655451,g,0.0910363391655451,g,,
Cotton,,0.0007474562584118439,g,0.0007474562584118439,g,,
Cotton,,0.01364586810228802,kg,0.01364586810228802,kg,,
Cotton,,0.0002726298788694481,g,0.0002726298788694481,g,,
Cotton,,0.002012382234185734,g,0.002012382234185734,g,,
Cotton,,0.07944118438761777,kg,0.07944118438761777,kg,,
Cotton,,0.116478600269179,kg,0.116478600269179,kg,,
Cotton,,0.02692759084791387,g,0.02692759084791387,g,,
Cotton,,0.002874831763122477,g,0.002874831763122477,g,,
Cotton,,0.0162907133243607,g,0.0162907133243607,g,,
Cotton,,0.2141749663526245,g,0.2141749663526245,g,,
Cotton,,0.07378734858681023,kg,0.07378734858681023,kg,,
Cotton,,0.0325814266487214,g,0.0325814266487214,g,,
Cotton,,0.6147348586810228,g,0.6147348586810228,g,,
Cotton,,0.0004791386271870794,g,0.0004791386271870794,g,,
Cotton,,0.05174697173620458,g,0.05174697173620458,g,,
Cotton,,0.9788802153432032,g,0.9788802153432032,g,,
Cotton,,0.004815343203230148,g,0.004815343203230148,g,,
Cotton,,0.00162907133243607,g,0.00162907133243607,g,,
Cotton,,0.1201727590847914,kg,0.1201727590847914,kg,,
Cotton,,0.005026164199192463,kg,0.005026164199192463,kg,,
Cotton,,1.308048452220727,g,1.308048452220727,g,,
Cotton,,0.004479946164199192,g,0.004479946164199192,g,,
Cotton,,0.001969259757738896,kg,0.001969259757738896,kg,,
Cotton,,0.0004120592193808883,kg,0.0004120592193808883,kg,,
Cotton,,0.1256301480484522,g,0.1256301480484522,g,,
Cotton,,0.05989232839838492,g,0.05989232839838492,g,,
Cotton,,0.05989232839838492,g,0.05989232839838492,g,,
Cotton,,0.05989232839838492,g,0.05989232839838492,g,,
Cotton,,0.05989232839838492,g,0.05989232839838492,g,,
Cotton,,0.06487537012113055,g,0.06487537012113055,g,,
Cotton,,9.343203230148048e-05,g,9.343203230148048e-05,g,,
Cotton,,0.0004120592193808883,kg,0.0004120592193808883,kg,,
Cotton,,0.05893405114401076,g,0.05893405114401076,g,,
Cotton,,0.3339596231493943,g,0.3339596231493943,g,,
Cotton,,0.001197846567967698,g,0.001197846567967698,g,,
Cotton,,0.1188263795423957,g,0.1188263795423957,g,,
Cotton,,0.03769862718707941,g,0.03769862718707941,g,,
Cotton,,0.01197846567967699,g,0.01197846567967699,g,,
Cotton,,0.2275908479138627,g,0.2275908479138627,g,,
Cotton,,3.737281292059219e-05,g,3.737281292059219e-05,g,,
Cotton,,0.01796769851951548,g,0.01796769851951548,g,,
Cotton,,24000.0,L,24000.0,l,,
Cotton,,2.5,kg,2.5,kg,,
