activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Flax - flax fiber - raw material extraction and fiber production,Flax - flax fiber,1.0,Flax,Unspecified geography,,"Source in document: Tables 8: Water requirements, and 9: CO2 emissions; Reference in the document:  Cherrett, N., Barrett, J., Clemett, A., Chadwick, M., Chadwick, M.J., 2005. Ecological Footprint and Water Analysis of Cotton Hemp and Polyester. Stockholm Environment Institute, Stockholm, Sweden.",2012.0,"Muthu, Subramanian Senthilkannan & Li, Yulan & Hu, Junyan & Mok, Tracy. (2012). Quantification of Environmental impact and ecological sustainability of textile fibers. Ecological Indicators. 13. 66–74. 10.1016/j.ecolind.2011.05.008.",Incomplete Elementary Flows,Input,Water,214.0,L,,
Flax - flax fiber - raw material extraction and fiber production,Flax - flax fiber,1.0,Flax,Unspecified geography,,"Source in document: Tables 8: Water requirements, and 9: CO2 emissions; Reference in the document:  Cherrett, N., Barrett, J., Clemett, A., Chadwick, M., Chadwick, M.J., 2005. Ecological Footprint and Water Analysis of Cotton Hemp and Polyester. Stockholm Environment Institute, Stockholm, Sweden.",2012.0,"Muthu, Subramanian Senthilkannan & Li, Yulan & Hu, Junyan & Mok, Tracy. (2012). Quantification of Environmental impact and ecological sustainability of textile fibers. Ecological Indicators. 13. 66–74. 10.1016/j.ecolind.2011.05.008.",Incomplete Elementary Flows,Output,Carbon Dioxide,3.8,kg,Air,
,,,,,,,,,,,,,,,
"Applied filters:
Country or Region Filter Alias is Unspecified geography
Activity Filter Alias is Flax - flax fiber - raw material extraction and fiber production
Material Type Filter Alias is Flax",,,,,,,,,,,,,,,
