activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Dinitrogen Monoxide,0.001668,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Dinitrogen Monoxide,0.10752,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Lead,-0.004175999999999999,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Methane,0.0017928,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Metolachlor,0.25752,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Metolachlor,0.25752,g,Water,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nickel,-0.002952,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrate,0.06329280000000001,kg,Water,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.0026472,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.23712,g,Air,
