activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.48708,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,"Particulates, < 10 Um",0.024168,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Penanthene,3.48e-05,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Phosphate,0.000204,kg,Water,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Scutching Waste,0.312,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Sulfur Dioxide,0.0140376,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,"Voc, Volatile Organic Compounds",0.0002064,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,"Voc, Volatile Organic Compounds",0.046776,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Zinc,-0.002568,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Zinc,1.392e-05,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Electricity Consumption Scutching,0.7550399999999999,MJ,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Hemp Seed For Sowing,0.0192,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,K2O From Compound Fertilizer,0.0192,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Metolachlor,0.000516,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,N From Urea Fertilizer,0.0216,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,On-Farm Fuel Use,0.016656,L,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,P2O5 From Compound Fertilizer,0.024,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.0002784,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.005196,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.228,g,Air,
