material,source_file,ghg_kgco2e_perkg
Polyester (Virgin PET),Polyester Modeling Parameters.xlsx,0.0
Cotton (Conventional),Cotton Modeling Parameters.xlsx,0.0
Nylon 6 (PA6),Nylon6 Modeling Parameters.xlsx,0.0
